     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        31,         5,         0,    1.10,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
       100,        18,         0,   0.034,pymatching_owd_d3_r2,037a6fff4f6cdc0596a552f89beecdd67f6eddfebd49131d3c95da8fda318a06,"{""d"":3,""decodings"":2,""p"":0.011}",
       200,        28,         0,   0.039,pymatching_owd_d3_r2,037a6fff4f6cdc0596a552f89beecdd67f6eddfebd49131d3c95da8fda318a06,"{""d"":3,""decodings"":2,""p"":0.011}",
       600,       105,         0,   0.060,pymatching_owd_d3_r2,037a6fff4f6cdc0596a552f89beecdd67f6eddfebd49131d3c95da8fda318a06,"{""d"":3,""decodings"":2,""p"":0.011}",
        37,         3,         0,    1.15,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
        67,        10,         0,    1.12,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
      1800,       318,         0,   0.124,pymatching_owd_d3_r2,037a6fff4f6cdc0596a552f89beecdd67f6eddfebd49131d3c95da8fda318a06,"{""d"":3,""decodings"":2,""p"":0.011}",
       281,        47,         0,   0.044,pymatching_owd_d3_r2,037a6fff4f6cdc0596a552f89beecdd67f6eddfebd49131d3c95da8fda318a06,"{""d"":3,""decodings"":2,""p"":0.011}",
        46,        10,         0,    1.13,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
       100,        29,         0,   0.190,pymatching_owd_d5_r2,0c92b4e4ccb6a5a0f9214e449a52c043e3127ef24509a8a8c70ea7cf122f01d1,"{""d"":5,""decodings"":2,""p"":0.011}",
       600,       165,         0,    1.42,pymatching_owd_d9_r2,4e75b066824c6084b1cb948a393d28df028d43e96232c64d75984985cf5e1d4f,"{""d"":9,""decodings"":2,""p"":0.008888886257163988}",
       200,        55,         0,   0.178,pymatching_owd_d5_r2,0c92b4e4ccb6a5a0f9214e449a52c043e3127ef24509a8a8c70ea7cf122f01d1,"{""d"":5,""decodings"":2,""p"":0.011}",
       200,        68,         0,   0.204,pymatching_owd_d5_r2,0c92b4e4ccb6a5a0f9214e449a52c043e3127ef24509a8a8c70ea7cf122f01d1,"{""d"":5,""decodings"":2,""p"":0.011}",
       100,        37,         0,   0.515,pymatching_owd_d7_r2,f6bdf371a1663a9f353cf46f2c60fdb5dec74f3638d5fddaf17d1fc51bd2da52,"{""d"":7,""decodings"":2,""p"":0.011}",
       600,       187,         0,   0.220,pymatching_owd_d5_r2,0c92b4e4ccb6a5a0f9214e449a52c043e3127ef24509a8a8c70ea7cf122f01d1,"{""d"":5,""decodings"":2,""p"":0.011}",
       547,       156,         0,   0.217,pymatching_owd_d5_r2,0c92b4e4ccb6a5a0f9214e449a52c043e3127ef24509a8a8c70ea7cf122f01d1,"{""d"":5,""decodings"":2,""p"":0.011}",
        24,         7,         0,   0.155,pymatching_owd_d5_r2,0c92b4e4ccb6a5a0f9214e449a52c043e3127ef24509a8a8c70ea7cf122f01d1,"{""d"":5,""decodings"":2,""p"":0.011}",
       752,       199,         0,    1.56,pymatching_owd_d9_r2,4e75b066824c6084b1cb948a393d28df028d43e96232c64d75984985cf5e1d4f,"{""d"":9,""decodings"":2,""p"":0.008888886257163988}",
        15,         2,         0,    1.16,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
       200,        89,         0,   0.565,pymatching_owd_d7_r2,f6bdf371a1663a9f353cf46f2c60fdb5dec74f3638d5fddaf17d1fc51bd2da52,"{""d"":7,""decodings"":2,""p"":0.011}",
       100,         3,         0,   0.043,pymatching_owd_d3_r3,13e8058dbcb7108f3383385520cb14126ab8aa7f1da058be4e0275936ebf612d,"{""d"":3,""decodings"":3,""p"":0.002}",
       200,        83,         0,   0.565,pymatching_owd_d7_r2,f6bdf371a1663a9f353cf46f2c60fdb5dec74f3638d5fddaf17d1fc51bd2da52,"{""d"":7,""decodings"":2,""p"":0.011}",
       200,         2,         0,   0.051,pymatching_owd_d3_r3,13e8058dbcb7108f3383385520cb14126ab8aa7f1da058be4e0275936ebf612d,"{""d"":3,""decodings"":3,""p"":0.002}",
       600,        10,         0,   0.079,pymatching_owd_d3_r3,13e8058dbcb7108f3383385520cb14126ab8aa7f1da058be4e0275936ebf612d,"{""d"":3,""decodings"":3,""p"":0.002}",
       100,        40,         0,    1.21,pymatching_owd_d9_r2,17de600966219d235490f07e4d7d52028ed8ec4227922f21eed44d3d519e4a22,"{""d"":9,""decodings"":2,""p"":0.011}",
       100,        37,         0,   0.535,pymatching_owd_d7_r2,f6bdf371a1663a9f353cf46f2c60fdb5dec74f3638d5fddaf17d1fc51bd2da52,"{""d"":7,""decodings"":2,""p"":0.011}",
      1800,        24,         0,   0.164,pymatching_owd_d3_r3,13e8058dbcb7108f3383385520cb14126ab8aa7f1da058be4e0275936ebf612d,"{""d"":3,""decodings"":3,""p"":0.002}",
         8,         0,         0,   0.455,pymatching_owd_d7_r2,f6bdf371a1663a9f353cf46f2c60fdb5dec74f3638d5fddaf17d1fc51bd2da52,"{""d"":7,""decodings"":2,""p"":0.011}",
       592,       192,         0,   0.625,pymatching_owd_d7_r2,f6bdf371a1663a9f353cf46f2c60fdb5dec74f3638d5fddaf17d1fc51bd2da52,"{""d"":7,""decodings"":2,""p"":0.011}",
        23,        12,         0,   0.463,pymatching_owd_d7_r2,f6bdf371a1663a9f353cf46f2c60fdb5dec74f3638d5fddaf17d1fc51bd2da52,"{""d"":7,""decodings"":2,""p"":0.011}",
        12,         6,         0,    1.08,pymatching_owd_d9_r2,4e75b066824c6084b1cb948a393d28df028d43e96232c64d75984985cf5e1d4f,"{""d"":9,""decodings"":2,""p"":0.008888886257163988}",
        17,         6,         0,   0.472,pymatching_owd_d7_r2,f6bdf371a1663a9f353cf46f2c60fdb5dec74f3638d5fddaf17d1fc51bd2da52,"{""d"":7,""decodings"":2,""p"":0.011}",
       136,        55,         0,   0.503,pymatching_owd_d7_r2,f6bdf371a1663a9f353cf46f2c60fdb5dec74f3638d5fddaf17d1fc51bd2da52,"{""d"":7,""decodings"":2,""p"":0.011}",
      5400,        73,         0,   0.398,pymatching_owd_d3_r3,13e8058dbcb7108f3383385520cb14126ab8aa7f1da058be4e0275936ebf612d,"{""d"":3,""decodings"":3,""p"":0.002}",
